team,games,sos,pts,opp_pts,mp,fg,fga,fg_pct,fg3,fg3a,ft,fta,orb,tov
North Alabama,32.0,-5.00,76.47,76.09,40.81,26.78,60.34,0.01,7.69,21.22,15.22,19.81,9.91,10.12
North Carolina NCAA,37.0,9.90,81.95,70.49,40.14,28.27,62.78,0.01,8.14,22.68,17.27,22.76,12.22,10.08
North Carolina A&T,32.0,-3.94,65.56,77.94,40.0,22.69,58.53,0.01,6.0,20.91,14.19,19.91,9.38,9.38
North Carolina Central,31.0,-8.84,76.61,69.0,40.32,26.55,58.45,0.01,7.52,21.97,16.0,23.03,11.26,12.0
North Dakota,32.0,-6.10,75.25,71.88,40.16,26.81,60.44,0.01,8.25,25.28,13.38,18.75,11.44,10.12
North Dakota State,32.0,-3.15,74.62,73.94,41.09,27.28,57.31,0.01,7.88,20.84,12.19,16.97,8.47,11.09
North Florida,32.0,-4.84,78.0,75.84,40.47,26.53,59.91,0.01,11.97,33.22,12.97,16.94,8.88,11.31
North Texas,34.0,4.28,69.21,63.79,40.29,24.29,56.09,0.01,8.35,22.15,12.26,16.65,11.47,11.12
Northeastern,32.0,-3.15,69.41,72.34,40.0,25.31,55.62,0.01,6.38,20.06,12.41,16.59,10.19,12.44
Northern Arizona,33.0,-4.17,68.64,76.64,40.3,25.0,57.06,0.01,6.27,20.09,12.36,17.76,8.3,12.61
Northern Colorado,33.0,-5.25,79.3,77.03,41.21,29.36,60.52,0.01,7.7,22.12,12.88,17.67,8.18,11.15
Northern Illinois,31.0,-1.37,73.19,77.39,40.48,25.81,58.13,0.01,7.32,22.45,14.26,21.23,10.32,12.71
Northern Iowa,33.0,2.86,73.24,71.09,40.3,25.55,56.03,0.01,7.21,20.91,14.94,21.12,8.03,10.3
Northern Kentucky,33.0,-3.73,74.85,73.21,40.61,26.73,58.64,0.01,6.33,19.88,15.06,20.94,10.52,12.33
Northwestern NCAA,34.0,8.50,73.32,69.06,40.74,26.24,57.65,0.01,8.18,20.97,12.68,16.85,8.53,8.82
Northwestern State,32.0,-6.32,70.53,75.91,40.62,25.25,58.5,0.01,6.38,20.09,13.66,20.72,11.41,13.28
Notre Dame,33.0,8.06,64.03,67.15,40.45,22.48,55.27,0.01,7.61,23.94,11.45,15.39,9.82,12.52
Oakland NCAA,36.0,-1.24,76.42,73.17,40.69,26.83,60.17,0.01,8.83,24.86,13.92,18.53,10.64,11.0
Ohio,33.0,-4.58,77.3,69.97,40.45,27.3,60.21,0.01,8.91,25.06,13.79,18.88,10.09,9.73
Ohio State,36.0,8.37,75.5,70.22,40.44,26.58,59.06,0.01,7.06,20.44,15.28,19.92,10.94,10.58
